country,continent,year,lifeExp,pop,gdpPercap,NewCasesOfBreastCancerIn2002,AlcoholComsumption,BloodPressure,BodyMassIndex,Cholestorol,Smoking
Cuba,Americas,2002,77.158,11226999,6340.646683,31.2,5.51,125.4713,25.73888,4.708419,28.3
Denmark,Europe,2002,77.18,5374693,32166.50006,88.7,13.37,122.0758,24.74319,5.479227,30.6
Djibouti,Africa,2002,53.373,447416,1908.260867,19.5,1.87,128.7091,23.74615,4.707457,NA
Ecuador,Americas,2002,74.173,12921234,5773.044512,23.5,9.38,123.7925,26.55303,4.837632,5.8
Egypt,Africa,2002,69.806,73312559,4754.604414,24.2,0.37,125.4958,29.20828,4.839036,1.3
El Salvador,Americas,2002,70.734,6353681,5351.568666,13.6,3.61,119.8362,26.8835,4.708999,NA
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959,16.5,6.08,132.0235,23.19161,4.695409,NA
Eritrea,Africa,2002,55.24,4414865,765.3500015,19.5,1.54,123.9032,20.60579,4.252667,1.2
Ethiopia,Africa,2002,50.725,67946797,530.0535319,24.7,4.02,123.9984,20.1839,4.203238,0.9
Finland,Europe,2002,78.37,5193039,28204.59057,84.7,12.52,128.6964,25.41902,5.436867,24.4
France,Europe,2002,79.59,59925035,28926.03234,91.9,13.66,122.8281,24.72699,5.43699,26.7
Gabon,Africa,2002,56.761,1299304,12521.71392,18.2,9.32,132.3095,24.91982,4.942365,NA
Gambia,Africa,2002,58.041,1457766,660.5855997,6.4,3.39,129.5809,23.63134,4.303299,2.9
Germany,Europe,2002,78.67,82350671,30035.80198,79.8,12.81,128.0019,25.57631,5.593814,25.8
Ghana,Africa,2002,58.453,20550751,1111.984578,28.1,2.97,128.9192,23.47061,4.238891,0.8
Greece,Europe,2002,78.256,10603863,22514.2548,51.6,10.75,124.3581,24.73157,4.970351,39.8
Guatemala,Americas,2002,68.978,11178650,4858.347495,25.9,4.03,120.3851,25.94954,4.56032,4.1
Guinea,Africa,2002,53.676,8807818,945.5835837,15.3,0.76,131.2604,21.94696,4.222444,NA
Guinea-Bissau,Africa,2002,45.504,1332459,575.7047176,28.1,3.68,129.6245,22.44935,4.170127,NA
Haiti,Americas,2002,58.137,7607651,1270.364932,4.4,6.61,124.3388,22.67272,4.373766,NA
Honduras,Americas,2002,68.565,6677328,3099.72866,25.9,4.48,122.2106,25.97615,4.593344,3.4
Hungary,Europe,2002,72.59,10083313,14843.93556,63,16.27,129.7824,25.59566,5.189877,33.9
Iceland,Europe,2002,80.5,288030,31163.20196,90,6.31,120.6813,25.50528,5.658249,26.6
India,Asia,2002,62.879,1034172547,1746.769454,19.1,2.59,124.2951,21.03814,4.547826,3.8
Indonesia,Asia,2002,68.588,211060000,2873.91287,26.1,0.59,126.4575,22.40431,4.622888,4.5
Iran,Asia,2002,69.451,66907826,9240.761975,17.1,1.02,125.5227,26.13108,5.216626,5.5
Iraq,Asia,2002,57.046,24001816,4390.717312,31.7,0.4,126.3037,27.93361,4.916117,2.5
Ireland,Europe,2002,77.783,3879155,34077.04939,74.9,14.41,126.107,26.19135,5.426795,26
Israel,Asia,2002,79.696,6029529,21905.59514,90.8,2.89,123.6205,26.72752,5.303616,17.9
Italy,Europe,2002,80.24,57926999,27968.09817,74.4,10.68,125.5278,24.76686,5.27189,19.2
Jamaica,Americas,2002,72.047,2664659,6994.774861,43.5,5,124.9047,26.64816,4.742052,9.2
Japan,Asia,2002,82,127065841,28604.5919,32.7,8.03,123.9938,21.92321,5.197184,14.3
Jordan,Asia,2002,71.263,5307470,3844.917194,33,0.71,123.1612,29.10914,5.21362,9.8
Kenya,Africa,2002,50.992,31386842,1287.514732,25.2,4.14,127.8673,22.62218,4.405716,2.2
Kuwait,Asia,2002,76.904,2111561,35110.10566,31.8,0.1,125.9623,30.34041,5.345846,NA
Lebanon,Asia,2002,71.028,3677780,9313.93883,52.5,2.23,129.0933,27.12636,4.99548,7
Lesotho,Africa,2002,44.593,2046772,1275.184575,13.1,5.55,129.5081,26.32388,4.260839,NA
Liberia,Africa,2002,43.753,2814651,531.4823679,18.8,5.06,130.2577,22.69692,4.176063,NA
Libya,Africa,2002,72.737,5368585,9534.677467,23.4,0.11,132.6075,28.51032,4.838883,NA
Madagascar,Africa,2002,57.286,16473477,894.6370822,19.5,1.33,130.8052,20.65751,4.356253,NA
Malawi,Africa,2002,45.009,11824495,665.4231186,10.5,1.74,130.9474,22.25219,4.331791,6.2
Malaysia,Asia,2002,73.044,22662365,10206.97794,30.8,0.82,124.6766,24.86649,5.06707,2.8
Mali,Africa,2002,51.818,10580176,951.4097518,18.2,1.04,127.2195,21.94506,4.195883,2.8
Mauritania,Africa,2002,62.247,2828858,1579.019543,28.1,0.11,129.162,25.43653,4.372733,3.7
Mauritius,Africa,2002,71.954,1200206,9021.815894,31.6,3.72,130.6751,25.57969,4.934729,1.1
Mexico,Americas,2002,74.902,102479927,10742.44053,26.4,8.42,122.6993,27.97481,5.003826,12.4
Mongolia,Asia,2002,65.033,2674234,2140.739323,6.6,3.24,128.8302,25.20751,4.831112,6.5
Morocco,Africa,2002,69.615,31167783,3258.495584,22.5,1.46,126.6631,25.65263,4.749074,0.3
Mozambique,Africa,2002,44.026,18473780,633.6179466,3.9,2.38,133.2081,22.44782,4.385706,3.4
Namibia,Africa,2002,51.479,1972153,4072.324751,24.7,9.62,132.2566,24.39392,4.592049,10.9
Nepal,Asia,2002,61.34,25873917,1057.206311,21.8,2.41,124.8058,20.16195,4.342687,26.4
Netherlands,Europe,2002,78.53,16122830,33724.75778,86.7,10.05,123.8227,25.11372,5.389425,30.3
New Zealand,Oceania,2002,79.11,3908037,23189.80135,91.9,9.62,121.1642,26.72162,5.380087,27.5
Nicaragua,Americas,2002,70.836,5146848,2474.548819,23.9,5.37,122.9739,26.78785,4.589401,NA
Niger,Africa,2002,54.496,11140655,601.0745012,23.3,0.34,132.2249,21.47314,4.089284,NA
Nigeria,Africa,2002,46.608,119901274,1615.286395,31.2,12.28,134.2376,23.24367,4.110205,1.2
Norway,Europe,2002,79.05,4535591,44683.97525,74.8,7.81,127.886,25.32467,5.410416,30.4
Oman,Asia,2002,74.193,2713462,19774.83687,13.2,0.94,128.2915,26.41259,5.110034,1.3
Pakistan,Asia,2002,63.61,153403524,2092.712441,50.1,0.06,126.2059,23.07639,4.591925,6.6
Panama,Americas,2002,74.712,2990875,7356.031934,29,6.85,123.0864,26.76206,4.912917,NA
Paraguay,Americas,2002,70.755,5884491,3783.674243,34.4,7.88,123.7607,25.36778,4.846562,14.8
Peru,Americas,2002,69.906,26769436,5909.020073,35.1,6.9,120.7746,25.84887,4.82459,NA
Philippines,Asia,2002,70.303,82995088,2650.921068,46.6,6.38,122.4797,23.00286,4.85752,9.8
Poland,Europe,2002,74.67,38625976,12002.23908,50.3,13.25,130.0524,25.7373,5.206347,27.2
Portugal,Europe,2002,77.29,10433867,19970.90787,55.5,14.55,129.172,25.9666,5.236896,31
Romania,Europe,2002,71.322,22404337,7885.360081,44.3,15.3,129.3499,24.94229,4.968129,24.5
Rwanda,Africa,2002,43.413,7852401,785.6537648,8.8,9.8,132.8907,21.56031,4.285954,NA
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118,24.7,0.25,127.3608,28.75728,4.991571,3.6
Senegal,Africa,2002,61.6,10870037,1519.635262,18.4,0.6,129.346,23.53851,4.330656,1.5
Sierra Leone,Africa,2002,41.012,5359092,699.489713,28.1,9.72,133.424,22.99407,4.110871,NA
Singapore,Asia,2002,78.77,4197776,36023.1054,48.7,1.55,123.2673,23.23321,4.835357,NA
Slovenia,Europe,2002,76.66,2011497,20660.01936,58.9,15.19,130.9412,26.39933,5.274947,21.1
Somalia,Africa,2002,45.936,7753310,882.0818218,19.5,0.5,129.8451,22.18624,4.362204,NA
South Africa,Africa,2002,53.365,44433622,7710.946444,35,9.46,130.0713,28.50839,4.563033,9.1
Spain,Europe,2002,79.78,40152517,24835.47166,50.9,11.62,123.514,26.07576,5.19105,30.9
Sri Lanka,Asia,2002,70.815,19576783,3015.378833,23.6,0.79,124.3827,22.71949,4.627639,2.6
Sudan,Africa,2002,56.369,37090298,1993.398314,22.5,2.56,128.1803,22.50693,4.520633,NA
Swaziland,Africa,2002,43.869,1130269,4128.116943,12.3,5.7,130.7529,27.73696,4.571466,3.2
Sweden,Europe,2002,80.04,8954175,29341.63093,87.8,10.1,125.0731,24.99897,5.18503,24.5
Switzerland,Europe,2002,80.62,7361757,34480.95771,81.7,11.06,121.6552,24.04547,5.349241,22.2
Syria,Asia,2002,73.053,17155814,4090.925331,44.8,1.43,127.6258,28.23422,4.885778,NA
Tanzania,Africa,2002,49.651,34593779,899.0742111,21.1,6.75,128.5271,22.5268,4.250212,4.3
Thailand,Asia,2002,68.564,62806748,5913.187529,16.6,7.08,120.5435,23.9693,5.039856,3.4
Togo,Africa,2002,57.561,4977378,886.2205765,28.1,1.99,129.8265,22.07173,4.169999,NA
Trinidad and Tobago,Americas,2002,68.976,1101832,11460.60023,51.1,6.28,124.3713,27.50818,4.756425,7.6
Tunisia,Africa,2002,73.042,9770575,5722.895655,19.6,1.29,129.5677,27.26516,4.830195,1.9
Turkey,Europe,2002,70.845,67308928,6508.085718,22,2.87,126.0769,27.89841,4.855077,19.2
Uganda,Africa,2002,47.813,24739869,927.7210018,18.3,11.93,132.7281,21.9589,4.288926,3.2
United Kingdom,Europe,2002,78.471,59912431,29478.99919,87.2,13.37,127.7889,26.431,5.45187,34.7
United States,Americas,2002,77.31,287675526,39097.09955,101.1,9.44,119.7817,27.75614,5.286608,21.5
Uruguay,Americas,2002,75.307,3363085,7727.002004,83.1,8.14,124.619,25.88269,5.001928,28
Venezuela,Americas,2002,72.766,24287670,8605.047831,34.3,8.23,124.9664,27.32819,4.802348,27
Vietnam,Asia,2002,73.017,80908147,1764.456677,16.2,3.77,121.4875,20.47612,4.565701,2.5
Zambia,Africa,2002,39.193,10595811,1071.613938,13,3.85,129.7063,22.45268,4.455595,5
Zimbabwe,Africa,2002,39.989,11926563,672.0386227,19,5.08,130.9397,24.65855,4.40654,4.4
